modelo,experimento,generation,best_fitness,mean_fitness,best_recall_maligno,best_f1_maligno,best_parameters
Regressao Logistica,E2_balanceado,4,0.9722737718313548,0.9722737718313544,0.9705882352941175,0.973477763472801,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2""}"
Regressao Logistica,E2_balanceado,5,0.9752598492599257,0.967102407703717,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E2_balanceado,6,0.9752598492599257,0.9667136567524972,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E2_balanceado,7,0.9752598492599257,0.9688888913755176,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E2_balanceado,8,0.9752598492599257,0.9688980807399901,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
KNN,E2_balanceado,0,0.9530276045289214,0.9219586431168637,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,1,0.9530276045289214,0.9377836206822648,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,2,0.9530276045289214,0.945496604693152,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,3,0.9530276045289214,0.9494005497394422,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,4,0.9530276045289214,0.9465611935072538,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,5,0.9530276045289214,0.9457654531322497,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,6,0.9530276045289214,0.9474549301674248,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,7,0.9530276045289214,0.9530276045289215,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E2_balanceado,8,0.9530276045289214,0.9403975499853586,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
Arvore de Decisao,E2_balanceado,0,0.9228304701834114,0.9147712672535685,0.9235294117647058,0.9156399156399158,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 6, ""min_samples_leaf"": 2, ""min_samples_split"": 2}"
Arvore de Decisao,E2_balanceado,1,0.9275466715962375,0.9145198597527743,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,2,0.9275466715962375,0.9190538267423758,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,3,0.9275466715962375,0.9201975730238056,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,4,0.9275466715962375,0.9213271970316873,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,5,0.9275466715962375,0.9232408746107463,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,6,0.9275466715962375,0.9237667811095106,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
Arvore de Decisao,E2_balanceado,7,0.9275466715962375,0.9163494946857437,0.9294117647058823,0.9183314827650406,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}"
