tipo,modelo,experimento,parametros,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_maligno,f1_maligno,falsos_negativos_maligno,auc_roc_maligno,cv_recall_maligno,cv_f1_maligno,cv_accuracy,cv_fitness
baseline_fase_1,Regressao Logistica,original,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9761904761904762,1,0.9953703703703705,,,,
baseline_fase_1,KNN,original,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""uniform""}",0.9736842105263158,0.9747368421052632,0.9736842105263158,0.9734654095556351,0.9285714285714286,0.9629629629629629,3,0.9884259259259259,,,,
baseline_fase_1,Arvore de Decisao,original,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 4, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9385964912280702,0.9390418397779577,0.9385964912280702,0.9387429907553746,0.9285714285714286,0.9176470588235294,3,0.9341931216931215,,,,
otimizado_ag,Regressao Logistica,E2_balanceado,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",0.956140350877193,0.9580981439105009,0.956140350877193,0.9564299597121931,0.9761904761904762,0.9425287356321839,1,0.9953703703703705,0.9764705882352942,0.9710070764191465,0.9780219780219781,0.9752598492599257
otimizado_ag,KNN,E1_pop_pequena_mutacao_baixa,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307,0.9285714285714286,0.9512195121951219,3,0.9715608465608465,0.9470588235294116,0.9611860483677868,0.9714285714285715,0.9530276045289214
otimizado_ag,Arvore de Decisao,E2_balanceado,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 6}",0.9035087719298246,0.9060767861683193,0.9035087719298246,0.904145911366825,0.9047619047619048,0.8735632183908046,4,0.9358465608465608,0.9294117647058823,0.9183314827650406,0.9384615384615385,0.9275466715962375
